Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh)_x,Electricity from hydro (TWh)_x,Electricity from solar (TWh)_x,Other renewables including bioenergy (TWh),Renewables (% electricity),Electricity from hydro (TWh)_y,Hydro (% equivalent primary energy),Hydro (% electricity),Electricity from wind (TWh)_y,Wind (% equivalent primary energy),Wind (% electricity),Electricity from solar (TWh)_y,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total
Argentina,ARG,2018,11.39763,1.5898329,0.10813,1.412743,32.278667,1.4,31.96,0.11,1.5,25.016096,31.96,8.683492,22.862867,1.4,0.38005105,1.0015023,0.11,0.029088747,0.07868946,31.703428
Argentina,ARG,2019,11.926772,1.6499021,0.79969794,4.9959664,27.504503,4.95,27.33,0.79,1.56,26.006308,27.33,7.789057,20.524181,4.95,1.4148179,3.7173321,0.79,0.2264681,0.59327126,28.55003
Argentina,ARG,2020,12.179417,2.264699,1.344358,9.410639,23.669312,9.32,24.26,1.33,2.14,26.714254,24.26,7.057022,17.492249,9.32,2.8057885,6.720023,1.33,0.4008213,0.9589732,16.743961
Argentina,ARG,2021,11.329249,2.1038966,2.1955633,12.937551,19.597536,12.81,20.19,2.17,2.01,25.347696,20.19,5.3786182,13.764658,12.81,3.5507598,8.733297,2.17,0.6025807,1.479411,23.779903
Australia,AUS,1965,5.5626216,296,0.0,0.0,7.689756,0.0,7.689756,0.0,296,,7.689756,5.340691,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1966,5.0718946,284,0.0,0.0,7.3450427,0.0,7.3450427,0.0,284,,7.3450427,4.86867,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1967,4.9495487,0.29,0.0,0.0,7.6057873,0.0,7.6057873,0.0,0.29,,7.6057873,4.753871,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1968,4.8654675,282,0.0,0.0,7.9505005,0.0,7.9505005,0.0,282,,7.9505005,4.686035,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1969,5.086988,281,0.0,0.0,8.684121,0.0,8.684121,0.0,281,,8.684121,4.9152875,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1970,5.4214506,261,0.0,0.0,10.170687,0.0,10.170687,0.0,261,,10.170687,5.275307,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1971,5.822727,263,0.0,0.0,11.507442,0.0,11.507442,0.0,263,,11.507442,5.6825237,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1972,5.599285,0.28,0.0,0.0,11.553314,0.0,11.553314,0.0,0.28,,11.553314,5.4565244,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1973,5.5886645,338,0.0,0.0,12.285839,0.0,12.285839,0.0,338,,12.285839,5.42747,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1974,5.9551096,429,0.0,0.0,13.87392,0.0,13.87392,0.0,429,,13.87392,5.7627435,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1975,6.297008,489,0.0,0.0,14.887801,0.0,14.887801,0.0,489,,14.887801,6.0813723,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1976,5.7934213,484,0.0,0.0,14.153859,0.0,14.153859,0.0,484,,14.153859,5.587167,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1977,5.269775,429,0.0,0.0,13.54395,0.0,13.54395,0.0,429,,13.54395,5.095537,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1978,5.508696,405,0.0,0.0,14.675349,0.0,14.675349,0.0,405,,14.675349,5.349326,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1979,5.1658406,418,0.0,0.0,14.246056,0.0,14.246056,0.0,418,,14.246056,5.0072346,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1980,4.862272,385,0.0,0.0,13.466598,0.0,13.466598,0.0,385,,13.466598,4.7166986,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1981,4.9303546,404,0.0,0.0,13.8663435,0.0,13.8663435,0.0,404,,13.8663435,4.7800097,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1982,4.6367826,516,0.0,0.0,12.770334,0.0,12.770334,0.0,516,,12.770334,4.442979,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1983,4.5344815,431,0.0,0.0,12.123648,0.0,12.123648,0.0,431,,12.123648,4.3668876,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1984,4.7184544,441,0.0,0.0,13.125949,0.0,13.125949,0.0,441,,13.125949,4.5533056,,0.0,0.0,,0.0,0.0,,
Australia,AUS,1985,4.863155,456,0.0,0.0,13.940511,0.0,13.940511,0.0,456,11.640788,13.940511,4.697283,11.272073,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,AUS,1986,4.7985597,0.46,0.0,0.0,14.025799,0.0,14.025799,0.0,0.46,11.183614,14.025799,4.634474,10.828475,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,AUS,1987,4.532893,0.47,0.0,0.0,13.613796,0.0,13.613796,0.0,0.47,10.369839,13.613796,4.3700223,10.02378,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,AUS,1988,4.6416802,731,0.0,0.0,14.334444,0.0,14.334444,0.0,731,10.507794,14.334444,4.3994775,9.997939,0.0,0.0,0.0,0.0,0.0,0.0,
